,phone_number,price,status,city_0,city_1,city_2,city_3,city_4,city_5,time
0,0912 69 88 709,10250000.0,0,0,0,0,0,0,1,6
1,0912 672 0 962,11500000.0,0,0,0,0,0,0,1,6
2,0912 538 67 32,11150000.0,0,0,0,0,0,0,1,6
3,0912 794 7800,17600000.0,0,0,0,0,0,0,1,6
4,0912 216 91 46,27700000.0,0,0,0,0,0,0,1,6
5,0912 390 46 57,18400000.0,0,0,0,0,0,0,1,6
6,0912 571 48 72,11350000.0,0,0,0,0,0,0,1,6
7,0912 615 62 71,11090000.0,0,0,0,0,0,0,1,6
8,0912 683 49 92,10250000.0,0,0,0,0,0,0,1,6
9,0912 75 14 912,14000000.0,0,0,0,0,0,0,1,6
10,0912 90 95 813,8950000.0,0,0,0,0,0,0,1,6
11,0912 299 84 93,25700000.0,0,0,0,0,0,0,1,6
12,0912 874 26 73,8750000.0,0,0,0,0,0,0,1,6
13,0912 666 43 27,18800000.0,0,0,0,0,0,0,1,6
14,0912 045 86 11,5600000.0,2,0,0,0,0,0,1,6
15,0910 168 3000,15800000.0,0,0,0,0,0,0,1,18
16,0910 176 51 51,2550000.0,0,0,0,0,0,0,1,18
17,912 915 4 913,17900000.0,0,0,0,0,0,0,1,18
18,0921 1 186 186,1550000.0,0,0,0,0,0,0,1,18
19,0921 1006 526,680000.0,0,0,0,0,0,0,1,18
20,0912 639 50 70,17700000.0,0,0,0,0,0,0,1,6
21,0912 4900 647,21700000.0,0,0,0,0,0,0,1,6
22,0912 359 46 27,16050000.0,0,0,0,0,0,0,1,6
23,0912 78 73 285,10850000.0,0,0,0,0,0,0,1,6
24,0912 37 805 37,28300000.0,0,0,0,0,0,0,1,6
25,0912 450 29 73,13400000.0,0,0,0,0,0,0,1,6
26,0912 591 41 37,13200000.0,0,0,0,0,0,0,1,6
27,0912 65 85 413,13900000.0,0,0,0,0,0,0,1,6
28,0912 690 31 87,11550000.0,0,0,0,0,0,0,1,6
29,0912 775 25 70,14200000.0,0,0,0,0,0,0,1,6
30,0912 967 53 28,8200000.0,0,0,0,0,0,0,1,6
31,0912 496 35 12,12590000.0,0,0,0,0,0,0,1,6
32,0912 354 11 59,18200000.0,0,0,0,0,0,0,1,6
33,0912 09 03 784,5700000.0,2,0,0,0,0,0,1,6
34,0910 164 3000,15800000.0,0,0,0,0,0,0,1,18
35,0910 168 84 84,2750000.0,0,0,0,0,0,0,1,18
36,0910 159 61 61,2550000.0,0,0,0,0,0,0,1,18
37,0921 100 27 23,950000.0,0,0,0,0,0,0,1,18
38,0921 1005 805,2700000.0,0,0,0,0,0,0,1,18
39,0921 1006 536,680000.0,0,0,0,0,0,0,1,18
40,0912 687 62 63,22000000.0,0,0,0,0,0,0,1,19
41,0921 1004 804,2450000.0,0,0,0,0,0,0,1,19
42,0921 47 600 47,720000.0,0,0,0,0,0,0,1,19
43,0912 046 78 68,8800000.0,0,0,0,0,0,0,1,19
44,0921 118 0 218,1250000.0,0,0,0,0,0,0,1,19
45,0921 118 51 81,680000.0,0,0,0,0,0,0,1,19
46,0921 119 80 19,950000.0,0,0,0,0,0,0,1,19
47,0912 96 86 9 76,19500000.0,0,0,0,0,0,0,1,19
48,0990 1100 701,1850000.0,0,0,0,0,0,0,1,19
49,0990 1100 703,1750000.0,0,0,0,0,0,0,1,19
50,0912 068 88 78,17500000.0,0,0,0,0,0,0,1,19
51,0919 610 6 610,15400000.0,0,0,0,0,0,0,1,19
52,0912 967 67 64,24500000.0,0,0,0,0,0,0,1,19
53,0912 957 09 06,10500000.0,0,0,0,0,0,0,1,19
54,0912 56 796 56,22000000.0,0,0,0,0,0,0,1,19
55,0912 951 951 8,28000000.0,0,0,0,0,0,0,1,19
56,0912 96 4 90 98,11500000.0,0,0,0,0,0,0,1,19
