phone_number,price,status,city,time
0912 69 88 709,"10,250,000",صفر,تهران,6 ثانیه
0912 672 0 962,"11,500,000",صفر,تهران,6 ثانیه
0912 538 67 32,"11,150,000",صفر,تهران,6 ثانیه
0912 794 7800,"17,600,000",صفر,تهران,6 ثانیه
0912 216 91 46,"27,700,000",صفر,تهران,6 ثانیه
0912 390 46 57,"18,400,000",صفر,تهران,6 ثانیه
0912 571 48 72,"11,350,000",صفر,تهران,6 ثانیه
0912 615 62 71,"11,090,000",صفر,تهران,6 ثانیه
0912 683 49 92,"10,250,000",صفر,تهران,6 ثانیه
0912 75 14 912,"14,000,000",صفر,تهران,6 ثانیه
0912 90 95 813,"8,950,000",صفر,تهران,6 ثانیه
0912 299 84 93,"25,700,000",صفر,تهران,6 ثانیه
0912 874 26 73,"8,750,000",صفر,تهران,6 ثانیه
0912 666 43 27,"18,800,000",صفر,تهران,6 ثانیه
0912 045 86 11,"5,600,000",کارکرده,تهران,6 ثانیه
0910 168 3000,"15,800,000",صفر,تهران,18 ثانیه
0910 176 51 51,"2,550,000",صفر,تهران,18 ثانیه
912 915 4 913,"17,900,000",صفر,تهران,18 ثانیه
0921 1 186 186,"1,550,000",صفر,تهران,18 ثانیه
0921 1006 526,"680,000",صفر,تهران,18 ثانیه
0912 639 50 70,"17,700,000",صفر,تهران,6 ثانیه
0912 4900 647,"21,700,000",صفر,تهران,6 ثانیه
0912 359 46 27,"16,050,000",صفر,تهران,6 ثانیه
0912 78 73 285,"10,850,000",صفر,تهران,6 ثانیه
0912 37 805 37,"28,300,000",صفر,تهران,6 ثانیه
0912 450 29 73,"13,400,000",صفر,تهران,6 ثانیه
0912 591 41 37,"13,200,000",صفر,تهران,6 ثانیه
0912 65 85 413,"13,900,000",صفر,تهران,6 ثانیه
0912 690 31 87,"11,550,000",صفر,تهران,6 ثانیه
0912 775 25 70,"14,200,000",صفر,تهران,6 ثانیه
0912 967 53 28,"8,200,000",صفر,تهران,6 ثانیه
0912 496 35 12,"12,590,000",صفر,تهران,6 ثانیه
0912 354 11 59,"18,200,000",صفر,تهران,6 ثانیه
0912 09 03 784,"5,700,000",کارکرده,تهران,6 ثانیه
0910 164 3000,"15,800,000",صفر,تهران,18 ثانیه
0910 168 84 84,"2,750,000",صفر,تهران,18 ثانیه
0910 159 61 61,"2,550,000",صفر,تهران,18 ثانیه
0921 100 27 23,"950,000",صفر,تهران,18 ثانیه
0921 1005 805,"2,700,000",صفر,تهران,18 ثانیه
0921 1006 536,"680,000",صفر,تهران,18 ثانیه
0912 687 62 63,"22,000,000",صفر,تهران,19 ثانیه
0921 1004 804,"2,450,000",صفر,تهران,19 ثانیه
0921 47 600 47,"720,000",صفر,تهران,19 ثانیه
0912 046 78 68,"8,800,000",صفر,تهران,19 ثانیه
0921 118 0 218,"1,250,000",صفر,تهران,19 ثانیه
0921 118 51 81,"680,000",صفر,تهران,19 ثانیه
0921 119 80 19,"950,000",صفر,تهران,19 ثانیه
0912 96 86 9 76,"19,500,000",صفر,تهران,19 ثانیه
0990 1100 701,"1,850,000",صفر,تهران,19 ثانیه
0990 1100 703,"1,750,000",صفر,تهران,19 ثانیه
0912 068 88 78,"17,500,000",صفر,تهران,19 ثانیه
0919 610 6 610,"15,400,000",صفر,تهران,19 ثانیه
0912 967 67 64,"24,500,000",صفر,تهران,19 ثانیه
0912 957 09 06,"10,500,000",صفر,تهران,19 ثانیه
0912 56 796 56,"22,000,000",صفر,تهران,19 ثانیه
0912 951 951 8,"28,000,000",صفر,تهران,19 ثانیه
